,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4
"Agriculture, Forestry, Fishing and Hunting",0.050417576,0.153506332,-0.029137871,-0.144942485,0.047922353,0.157407666,-0.01713495,-0.155083137,0.03543311,0.160891027,-0.014633122,-0.148809514,0.03847701,0.148657942,-0.01808824,-0.138339398,0.024907242,0.149413577,-0.012364275,-0.155598432,0.010879049,0.171655391,-0.009921951,-0.153232923,0.020591734,0.172479375,0.008000877,-0.161374528,0.016471039,0.16867023,0.023745477,-0.150665137,0.015348726,0.172362375,-0.001205386,-0.148268435,0.026096807,0.182232803,-0.014697906,-0.141968675,0.021177766,0.172740681,-0.007520566,-0.140345484,0.031282132,0.1481139,-0.01112351,-0.138312192,0.032580452,0.155944648,0.001337438,-0.143984739,0.010011566,0.15119071,-0.00768023,-0.143501006,0.017594675,0.16428562,-0.012601711,-0.153482953,0.019604805,0.172894249,-0.005624439,-0.149149479,0.000416654,0.142374809,0.002278588,-0.134869405,0.018456729,0.13896284,0.008156187,-0.138335466,0.025010097,0.141173319,0.002467258,-0.153480026,0.016973845,0.165792602,0.001043957
"Mining, Quarrying, and Oil and Gas Extraction",0.009069212,0.039258153,0.007562934,-0.011685798,0.021428585,0.052859029,0.016221637,0.000758729,0.034220552,0.047223609,0.014392481,-0.005075775,0.021005482,0.036431583,0.009824297,-0.009508419,0.025313584,0.047261874,0.023222741,-0.047411632,-0.065934912,-0.03694825,-0.017457881,-0.027504934,0.031090396,0.053123677,0.021249675,0.003444478,0.023529043,0.055035206,0.033351147,0.009144423,0.025965083,0.026325028,-0.002332829,-0.021639521,0.012446048,0.027665721,0.00260665,-0.017790293,0.016269077,0.035746589,0.015420289,-0.006348332,-0.07087691,-0.051160337,-0.041826152,-0.062209944,-0.071064306,-0.032617335,-0.006746081,-0.030275527,0.030759693,0.048417279,0.015875273,-0.005613833,0.023537526,0.035522098,0.016063052,-0.002358955,-0.005323879,0.006576493,-0.019969678,-0.053640853,-0.051972247,-0.129914721,-0.038529997,-0.012493028,0.011213686,0.028196817,0.013805243,0.004379032,0.021667753,0.036400798,0.022307223,0.001107629,0.009952338,0.019946151,-0.00438196
Utilities,-0.011716772,0.001354334,-0.000772608,-0.017683785,-0.001479652,0.005067586,-0.007956989,-0.008691303,-0.002083367,0.010804659,-0.009954084,-0.008263176,-0.007356942,0.010385989,-0.005554716,-0.005236062,0.02337343,0.014245071,-0.004501989,-0.002789286,-0.002807805,-0.000433462,-0.006008379,-0.01166935,-0.002148741,0.005366968,-0.009962072,-0.002501345,-0.001984737,0.011203412,-0.005803262,-0.008061157,-0.001183944,0.021319588,-0.00847785,-0.004034662,-0.001316669,0.007901235,-0.01707423,0.001419882,-0.002133291,0.012832681,-0.001346048,0.000695967,0.001950656,0.012966843,-0.002979634,-0.001291165,-0.001697753,0.008779668,-0.008667196,-0.002209842,0.003920904,0.006460293,-0.010667374,0.000643698,0.001457867,0.005078728,-0.01491297,-0.000929974,-0.003738077,0.006654812,-0.009292565,-0.003471573,-0.00201774,0.004847898,-0.003462753,0.002608413,-0.000114969,0.008204504,-0.000778088,-0.006017853,0.001261233,0.01429631,0.002390774,0.006653095,0.015285745,0.020630705,0.003352088
Construction,0.019673377,0.077022817,0.006264098,-0.05650421,0.021143099,0.078715179,0.00968904,-0.043457324,0.023587276,0.061327354,-0.006535458,-0.057662496,0.011198184,0.056749393,-0.011159718,-0.07386199,-0.010356084,0.04032281,-0.026725625,-0.119459471,-0.050062548,0.022045274,-0.025251318,-0.098858013,-0.007308692,0.072009475,0.003542623,-0.08068915,0.004926875,0.076988056,0.008427823,-0.065567912,0.009183559,0.067800737,0.010747129,-0.055916886,0.016531033,0.077198496,0.011415989,-0.054211944,0.016540134,0.080889622,0.012767339,-0.04924508,0.013921345,0.073538932,0.011569828,-0.044729512,0.015815168,0.060070833,0.005024805,-0.044877059,0.016261344,0.06249858,0.001798602,-0.040093733,0.018319584,0.063876055,0.004263965,-0.040969973,0.011483894,0.05788897,0.000853298,-0.044118896,-0.027385814,0.025826968,0.013355053,-0.033523635,0.014602703,0.05289259,0.003783682,-0.034601824,0.018623404,0.050787118,0.002519562,-0.037300009,0.013847825,0.047985154,0.002904305
Manufacturing,0.000742574,0.012827104,-0.004236762,-0.009761113,-0.000469897,0.006468228,-0.005634045,-0.009367419,0.002606519,0.007850681,-0.006364107,-0.014545186,-0.005294906,0.004189349,-0.008664754,-0.012868101,-0.008257969,-0.002143415,-0.01571609,-0.044415026,-0.049489258,-0.025959969,-0.015654675,-0.019940834,-0.000726911,0.014188419,0.00291591,-0.006035575,0.004957067,0.017155174,0.001829473,-0.005373001,0.005094255,0.01636753,-0.002139683,-0.008759581,0.003985943,0.012280104,-0.001174418,-0.00424143,0.003582401,0.014278288,0.000222024,-0.002347452,0.001897246,0.011539677,-0.004375205,-0.00535625,-0.00110653,0.008243432,-0.005961822,-0.001352715,0.002181556,0.013535396,-0.002454773,-0.000807393,0.004885338,0.015830771,-0.000489663,0.001201063,0.000616895,0.009643771,-0.007277867,-0.005281193,-0.020255646,-0.022290465,-0.007229219,0.007228087,0.003228785,0.011004305,0.006384433,0.007315192,0.007163566,0.015624073,0.001851716,-0.000632987,-0.000421324,0.005667054,-0.005846619
Wholesale Trade,0.010251564,0.014603472,-0.000529627,-0.008118319,0.011381079,0.014490456,0.000962457,-0.006547328,0.012813304,0.015070411,0.00049589,-0.00660725,0.009030072,0.013101016,-0.000476519,-0.012080942,0.00258283,0.004811499,-0.010943105,-0.035789957,-0.023224826,-0.010383028,-0.011810802,-0.020682993,0.004701068,0.015264501,0.002323702,-0.015050024,0.008917593,0.018003624,0.002394788,-0.010126067,0.012374025,0.016485794,0.000219413,-0.01374335,0.010840072,0.016157934,0.001570377,-0.014975857,0.008999426,0.016203277,0.00322619,-0.012052453,0.006456664,0.014039936,-0.001014573,-0.018331733,0.006024556,0.013354207,-0.001500555,-0.014962032,0.008552103,0.013812082,-0.000283338,-0.030412205,0.007425609,0.013749585,0.000647236,-0.013365571,0.00648972,0.011672445,-0.003789128,-0.011789524,-0.017273966,-0.022755623,0.000854021,-0.0042363,0.009967919,0.017563562,0.01105351,0.002676601,0.016043906,0.021594443,0.006670492,-0.008236369,0.006810236,0.012127507,0.000173047
Retail Trade,-0.038612513,0.015034446,0.000883095,0.028203808,-0.031824072,0.013531109,0.001301412,0.026455629,-0.036905183,0.012421422,0.000175846,0.034344891,-0.030918573,0.009097404,-0.00395959,0.030250602,-0.039498058,0.002513719,-0.011850895,0.00973601,-0.054585847,0.004609882,-0.006194074,0.016872984,-0.029464931,0.018397093,-0.000761112,0.023448715,-0.030871854,0.017000182,0.003734085,0.028924764,-0.031554587,0.01282655,0.000615748,0.031001514,-0.035425183,0.017954143,0.004167712,0.039012129,-0.038569771,0.016447602,0.001406069,0.034986044,-0.034299219,0.017552079,0.001391684,0.026716868,-0.027209452,0.013815803,-0.002264985,0.022305871,-0.031689636,0.007759345,-0.005011778,0.024208905,-0.029846203,0.009150959,-0.007689155,0.020592375,-0.034360247,0.009540791,-0.005599805,0.026056019,-0.075945248,-0.00248628,0.026909323,0.038257591,-0.026117588,0.011594246,0.010184904,0.013003307,-0.015310125,0.00362556,0.003525125,0.014208453,-0.021161209,0.003486289,-0.002348793
Transportation and Warehousing,-0.014927676,0.016562321,0.016629776,-0.003840239,0.003193558,0.01406302,0.006259555,0.005497971,-0.003635876,0.017226032,0.001844274,0.005757792,-6.54E-05,0.015411263,-0.010153574,0.007238291,-0.004032498,0.000705824,-0.00662841,-0.016648503,-0.045495732,-0.009897475,-0.005956609,-0.008833003,-0.010370889,0.018530229,0.009330512,0.002415099,-0.00290918,0.019551458,0.009128337,0.005716357,-0.003759216,0.016062454,0.004106269,0.00938124,-0.013368933,0.013287369,0.009951776,0.01847812,-0.012907509,0.02064946,0.01339415,0.033112487,-0.019470114,0.020530404,0.01124217,0.020421298,-0.014674496,0.015374676,0.010110325,0.024985793,-0.018528214,0.017987997,0.014673645,0.036461287,-0.018187444,0.019786792,0.014220703,0.040356094,-0.0294073,0.023341925,0.016292793,0.044725386,-0.080619217,0.011252952,0.034931017,0.063687968,-0.024679583,0.00609597,0.034431058,0.065799701,-0.015198458,0.003853076,0.012607913,0.01928347,-0.02899737,0.004686172,0.012379462
Information,-0.002739113,0.00375812,-0.009733553,-0.001641333,0.001017734,0.006776966,-0.004979852,-0.011984658,0.001682065,0.003302889,-0.007354182,-0.012472928,0.002690108,0.008237001,0.003003941,-0.013448132,0.00511349,0.005102864,-0.0192945,-0.026433182,-0.01189051,-0.00397311,-0.02282279,-0.018658466,0.002579204,-0.001783989,-0.006681646,-0.003496893,-0.001842967,0.006730045,-0.000752421,-0.005801493,0.005438773,0.002883407,-0.004138805,0.002385636,0.010094965,0.004635783,0.00336313,-0.010434996,0.013251822,0.008204222,-0.002595161,-0.004249656,0.008182208,0.013158139,0.001486249,-0.009458905,0.01711093,0.012263516,-0.005470833,-0.014937143,0.004638115,0.011902668,0.010684294,-0.000681457,0.000201005,0.011836108,-0.001108898,-0.004763661,0.002418083,0.019645735,0.004489032,-0.008358886,-0.058594889,-0.02880738,0.012028818,0.010865208,0.01528667,0.035610108,0.025301273,0.005403764,0.025813541,0.026484202,0.007669498,-0.012529799,-0.011131787,-0.015415395,-0.016878894
Finance and Insurance,0.006749754,0.008724988,0.000462769,-0.00714608,0.009112551,0.01378454,0.003758764,-0.003532087,0.006899267,0.010052148,-0.001056486,-0.004867015,0.005765549,0.002951675,-0.011319601,-0.013986596,-0.002722903,0.001492663,-0.01119117,-0.019149151,-0.011449025,-0.006024053,-0.012344824,-0.016858359,-0.000113188,0.002641474,-0.001737466,-0.005127098,0.002593301,0.005206911,0.001134897,-0.005301594,0.007473301,0.011504315,3.97E-05,-0.005465819,0.008917855,0.010037584,-0.002680263,-0.012414217,0.001990319,0.011032029,0.001423244,-0.001331755,0.007504313,0.013356292,-0.000628414,-0.003769391,0.005423944,0.012645744,0.003368799,-0.005391958,0.003530009,0.011475944,0.000249453,-0.005273947,-0.000854119,0.00905001,-0.001606992,0.001920588,0.003302515,0.011208099,4.22E-05,-0.002935994,-0.000926696,0.002047238,0.003735815,0.002764003,0.00565877,0.011505708,-0.003846419,0.001405695,0.001482807,0.01270722,0.002929831,-0.005611691,0.003940719,0.009427158,-0.005815065
