date,PAYEMS
1/1/2010,129802
2/1/2010,129705
3/1/2010,129865
4/1/2010,130120
5/1/2010,130643
6/1/2010,130509
7/1/2010,130415
8/1/2010,130416
9/1/2010,130342
10/1/2010,130621
11/1/2010,130749
12/1/2010,130830
1/1/2011,130837
2/1/2011,131056
3/1/2011,131282
4/1/2011,131597
5/1/2011,131704
6/1/2011,131931
7/1/2011,131993
8/1/2011,132125
9/1/2011,132344
10/1/2011,132553
11/1/2011,132690
12/1/2011,132888
1/1/2012,133245
2/1/2012,133508
3/1/2012,133748
4/1/2012,133825
5/1/2012,133933
6/1/2012,134012
7/1/2012,134157
8/1/2012,134338
9/1/2012,134517
10/1/2012,134668
11/1/2012,134825
12/1/2012,135074
1/1/2013,135257
2/1/2013,135545
3/1/2013,135689
4/1/2013,135873
5/1/2013,136095
6/1/2013,136279
7/1/2013,136391
8/1/2013,136646
9/1/2013,136821
10/1/2013,137041
11/1/2013,137316
12/1/2013,137373
1/1/2014,137561
2/1/2014,137712
3/1/2014,137985
4/1/2014,138297
5/1/2014,138512
6/1/2014,138849
7/1/2014,139073
8/1/2014,139269
9/1/2014,139563
10/1/2014,139797
11/1/2014,140090
12/1/2014,140364
1/1/2015,140568
2/1/2015,140827
3/1/2015,140923
4/1/2015,141196
5/1/2015,141538
6/1/2015,141709
7/1/2015,141991
8/1/2015,142125
9/1/2015,142275
10/1/2015,142579
11/1/2015,142808
12/1/2015,143077
1/1/2016,143210
2/1/2016,143407
3/1/2016,143662
4/1/2016,143855
5/1/2016,143900
6/1/2016,144146
7/1/2016,144520
8/1/2016,144662
9/1/2016,144967
10/1/2016,145066
11/1/2016,145183
12/1/2016,145408
1/1/2017,145628
2/1/2017,145848
3/1/2017,145969
4/1/2017,146174
5/1/2017,146380
6/1/2017,146583
7/1/2017,146772
8/1/2017,146919
9/1/2017,147007
10/1/2017,147150
11/1/2017,147373
12/1/2017,147523
1/1/2018,147660
2/1/2018,148054
3/1/2018,148280
4/1/2018,148422
5/1/2018,148740
6/1/2018,148959
7/1/2018,149020
8/1/2018,149279
9/1/2018,149358
10/1/2018,149526
11/1/2018,149617
12/1/2018,149809
1/1/2019,150059
2/1/2019,150065
3/1/2019,150295
4/1/2019,150593
5/1/2019,150621
6/1/2019,150839
7/1/2019,150936
8/1/2019,151171
9/1/2019,151365
10/1/2019,151460
11/1/2019,151668
12/1/2019,151795
1/1/2020,152031
2/1/2020,152292
3/1/2020,150895
4/1/2020,130424
5/1/2020,133040
6/1/2020,137671
7/1/2020,139255
8/1/2020,140819
9/1/2020,141770
10/1/2020,142461
11/1/2020,142731
12/1/2020,142548
1/1/2021,142913
2/1/2021,143422
3/1/2021,144246
4/1/2021,144611
5/1/2021,145032
6/1/2021,145828
7/1/2021,146759
8/1/2021,147246
9/1/2021,147712
10/1/2021,148569
11/1/2021,149206
12/1/2021,149781
1/1/2022,150006
2/1/2022,150875
3/1/2022,151346
4/1/2022,151651
5/1/2022,151892
6/1/2022,152353
7/1/2022,153049
8/1/2022,153286
9/1/2022,153513
10/1/2022,153913
11/1/2022,154210
12/1/2022,154336
1/1/2023,154780
2/1/2023,155086
3/1/2023,155171
4/1/2023,155387
5/1/2023,155614
6/1/2023,155871
7/1/2023,156019
8/1/2023,156176
9/1/2023,156334
10/1/2023,156520
11/1/2023,156661
12/1/2023,156930
1/1/2024,157049
2/1/2024,157271
3/1/2024,157517
4/1/2024,157635
5/1/2024,157828
6/1/2024,157915
7/1/2024,158003
8/1/2024,158074
9/1/2024,158314
10/1/2024,158358
11/1/2024,158619
12/1/2024,158942
1/1/2025,159053
2/1/2025,159155
3/1/2025,159340
4/1/2025,159517
